datetime,temp_air,temp_soil,conc,PAR,turfID,type,start,end,fluxID,n_conc,ratio,flag,time,cut,std.error,p.value,r.squared,adj.r.squared,intercept,slope,fit
2022-07-28T23:44:08Z,NA,NA,469,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,33,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,480.80017700649756
2022-07-28T23:44:09Z,NA,NA,469.55,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,34,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,480.9129404316481
2022-07-28T23:44:10Z,NA,NA,470.42,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,35,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,481.02570385679866
2022-07-28T23:44:11Z,NA,NA,471.41,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,36,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,481.1384672819492
2022-07-28T23:44:12Z,NA,NA,471.78,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,37,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,481.25123070709975
2022-07-28T23:44:13Z,NA,NA,472.17,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,38,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,481.3639941322503
2022-07-28T23:44:14Z,NA,NA,472.44,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,39,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,481.4767575574009
2022-07-28T23:44:15Z,NA,NA,473.19,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,40,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,481.58952098255145
2022-07-28T23:44:16Z,7.24,10.86,473.58,1.98,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,41,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,481.702284407702
2022-07-28T23:44:17Z,NA,NA,474.13,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,42,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,481.81504783285254
2022-07-28T23:44:18Z,NA,NA,475.39,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,43,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,481.9278112580031
2022-07-28T23:44:19Z,NA,NA,475.47,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,44,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,482.04057468315364
2022-07-28T23:44:20Z,NA,NA,476.73,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,45,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,482.1533381083042
2022-07-28T23:44:21Z,NA,NA,476.4,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,46,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,482.26610153345473
2022-07-28T23:44:22Z,NA,NA,477.74,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,47,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,482.3788649586053
