turfID,type,starting_time,date,comments,data_entry,
74 WN2C 155,ER,040015,2022-07-30,,,
109 AN3C 109,NEE,040553,2022-07-30,,,
109 AN3C 109,ER,040945,2022-07-30,,,
29 WN3C 106,NEE,041340,2022-07-30,,,
29 WN3C 106,ER,041735,2022-07-30,,,
81 AN1C 81,NEE,042152,2022-07-30,,,
81 AN1C 81,ER,042550,2022-07-30,,,
3 WN1C 85,NEE,042955,2022-07-30,,,
3 WN1C 85,ER,043355,2022-07-30,,,
156 AN2C 156,NEE,043908,2022-07-30,,,
156 AN2C 156,ER,044300,2022-07-30,,,
74 WN2C 155,NEE,044705,2022-07-30,,,
74 WN2C 155,ER,045050,2022-07-30,,,
109 AN3C 109,NEE,045645,2022-07-30,,,
109 AN3C 109,ER,050049,2022-07-30,,,
29 WN3C 106,NEE,050445,2022-07-30,,,
29 WN3C 106,ER,050850,2022-07-30,,,
81 AN1C 81,NEE,051959,2022-07-30,,,
81 AN1C 81,ER,052425,2022-07-30,,,
3 WN1C 85,NEE,052835,2022-07-30,,,
3 WN1C 85,ER,053300,2022-07-30,,,
156 AN2C 156,NEE,053905,2022-07-30,,,
156 AN2C 156,ER,054325,2022-07-30,,,
74 WN2C 155,NEE,054757,2022-07-30,,,
74 WN2C 155,ER,055220,2022-07-30,,,
109 AN3C 109,NEE,055815,2022-07-30,,,
109 AN3C 109,ER,060210,2022-07-30,,,
29 WN3C 106,NEE,060625,2022-07-30,,,
29 WN3C 106,ER,061035,2022-07-30,,,
81 AN1C 81,NEE,062135,2022-07-30,,,
81 AN1C 81,ER,062530,2022-07-30,,,
3 WN1C 85,NEE,062940,2022-07-30,,,
3 WN1C 85,ER,063355,2022-07-30,,,
156 AN2C 156,NEE,063915,2022-07-30,,,
156 AN2C 156,ER,064320,2022-07-30,,,
74 WN2C 155,NEE,064735,2022-07-30,,,
74 WN2C 155,ER,065135,2022-07-30,,,
109 AN3C 109,NEE,065720,2022-07-30,,,
109 AN3C 109,ER,070120,2022-07-30,,,
29 WN3C 106,NEE,070512,2022-07-30,,,
29 WN3C 106,ER,070912,2022-07-30,,,
