f_datetime,temp_air,temp_soil,f_conc,PAR,turfID,type,f_start,f_end,f_fluxID,n_conc,ratio,flag,f_time,f_cut,Cm_est,a_est,b_est,tz_est,f_Cz,time_diff,f_Cm,f_a,f_b,f_tz,f_slope_tz,f_fit,f_fit_slope,f_start_z,volume
2022-07-28T23:47:36Z,7.37,10.69,440.28,2.44,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,14,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,437.5740683984866,437.6274858803659,2022-07-28T23:47:32Z,28
2022-07-28T23:47:37Z,NA,NA,440.42,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,15,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,438.3871664669769,438.4803028373767,2022-07-28T23:47:32Z,28
2022-07-28T23:47:38Z,NA,NA,440.73,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,16,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,439.1894134757924,439.3331197943875,2022-07-28T23:47:32Z,28
2022-07-28T23:47:39Z,NA,NA,441.44,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,17,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,439.9808784374416,440.1859367513983,2022-07-28T23:47:32Z,28
2022-07-28T23:47:40Z,NA,NA,441.84,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,18,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,440.76162992551514,441.0387537084091,2022-07-28T23:47:32Z,28
2022-07-28T23:47:41Z,NA,NA,442.54,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,19,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,441.5317360774766,441.89157066541986,2022-07-28T23:47:32Z,28
2022-07-28T23:47:42Z,NA,NA,442.54,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,20,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,442.291264597437,442.7443876224307,2022-07-28T23:47:32Z,28
2022-07-28T23:47:43Z,NA,NA,443.33,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,21,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,443.04028275891096,443.59720457944144,2022-07-28T23:47:32Z,28
2022-07-28T23:47:44Z,NA,NA,443.09,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,22,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,443.7788574075544,444.45002153645225,2022-07-28T23:47:32Z,28
2022-07-28T23:47:45Z,NA,NA,443.72,NA,74 WN2C 155,NEE,2022-07-28T23:47:22Z,2022-07-28T23:50:52Z,2,210,1,NA,23,keep,495.41,0.10680980034473687,-0.00190839485365293,14,434.97764705882366,0,708.6119465654118,-0.8930491012379946,0.00638028953752104,10.89283989986524,0.8528169570107897,444.5070549638865,445.302838493463,2022-07-28T23:47:32Z,28
