datetime,temp_air,temp_soil,conc,PAR,turfID,type,start,end,fluxID,n_conc,ratio,flag,time,cut,Cm_est,a_est,b_est,tz_est,Cz,Cm,a,b,tz,slope_tz,fit,fit_slope,start_z,temp_fahr,temp_kelvin
2022-07-28T23:43:58Z,NA,NA,462.64,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,23,keep,532.03,0.222740884188786,-0.00331641449072371,14,446.696397058824,927.600428002461,-1.74738879429785,0.00686716643709844,9.65824971169209,1.55505922646365,465.485455686615,467.443608941831,2022-07-28T23:43:44Z,#VALUE!,#VALUE!
2022-07-28T23:43:59Z,NA,NA,463.57,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,24,keep,532.03,0.222740884188786,-0.00331641449072371,14,446.696397058824,927.600428002461,-1.74738879429785,0.00686716643709844,9.65824971169209,1.55505922646365,466.741068666589,468.998668168294,2022-07-28T23:43:44Z,#VALUE!,#VALUE!
2022-07-28T23:44:00Z,NA,NA,463.96,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,25,keep,532.03,0.222740884188786,-0.00331641449072371,14,446.696397058824,927.600428002461,-1.74738879429785,0.00686716643709844,9.65824971169209,1.55505922646365,467.976130179504,470.553727394758,2022-07-28T23:43:44Z,#VALUE!,#VALUE!
2022-07-28T23:44:01Z,NA,NA,464.36,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,26,keep,532.03,0.222740884188786,-0.00331641449072371,14,446.696397058824,927.600428002461,-1.74738879429785,0.00686716643709844,9.65824971169209,1.55505922646365,469.19078087223,472.108786621222,2022-07-28T23:43:44Z,#VALUE!,#VALUE!
2022-07-28T23:44:02Z,NA,NA,465.69,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,27,keep,532.03,0.222740884188786,-0.00331641449072371,14,446.696397058824,927.600428002461,-1.74738879429785,0.00686716643709844,9.65824971169209,1.55505922646365,470.385160429099,473.663845847685,2022-07-28T23:43:44Z,#VALUE!,#VALUE!
2022-07-28T23:44:03Z,NA,NA,465.61,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,28,keep,532.03,0.222740884188786,-0.00331641449072371,14,446.696397058824,927.600428002461,-1.74738879429785,0.00686716643709844,9.65824971169209,1.55505922646365,471.559407578495,475.218905074149,2022-07-28T23:43:44Z,#VALUE!,#VALUE!
2022-07-28T23:44:04Z,NA,NA,466.64,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,29,keep,532.03,0.222740884188786,-0.00331641449072371,14,446.696397058824,927.600428002461,-1.74738879429785,0.00686716643709844,9.65824971169209,1.55505922646365,472.713660099393,476.773964300613,2022-07-28T23:43:44Z,#VALUE!,#VALUE!
2022-07-28T23:44:05Z,NA,NA,466.79,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,30,keep,532.03,0.222740884188786,-0.00331641449072371,14,446.696397058824,927.600428002461,-1.74738879429785,0.00686716643709844,9.65824971169209,1.55505922646365,473.84805482786,478.329023527076,2022-07-28T23:43:44Z,#VALUE!,#VALUE!
2022-07-28T23:44:06Z,7.23,10.86,467.49,1.98,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,31,keep,532.03,0.222740884188786,-0.00331641449072371,14,446.696397058824,927.600428002461,-1.74738879429785,0.00686716643709844,9.65824971169209,1.55505922646365,474.962727663504,479.88408275354,2022-07-28T23:43:44Z,45.014,280.38
2022-07-28T23:44:07Z,NA,NA,468.84,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,32,keep,532.03,0.222740884188786,-0.00331641449072371,14,446.696397058824,927.600428002461,-1.74738879429785,0.00686716643709844,9.65824971169209,1.55505922646365,476.057813575886,481.439141980004,2022-07-28T23:43:44Z,#VALUE!,#VALUE!
2022-07-28T23:44:08Z,NA,NA,469,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,33,keep,532.03,0.222740884188786,-0.00331641449072371,14,446.696397058824,927.600428002461,-1.74738879429785,0.00686716643709844,9.65824971169209,1.55505922646365,477.133446610884,482.994201206467,2022-07-28T23:43:44Z,#VALUE!,#VALUE!
2022-07-28T23:44:09Z,NA,NA,469.55,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,34,keep,532.03,0.222740884188786,-0.00331641449072371,14,446.696397058824,927.600428002461,-1.74738879429785,0.00686716643709844,9.65824971169209,1.55505922646365,478.189759897013,484.549260432931,2022-07-28T23:43:44Z,#VALUE!,#VALUE!
2022-07-28T23:44:10Z,NA,NA,470.42,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,35,keep,532.03,0.222740884188786,-0.00331641449072371,14,446.696397058824,927.600428002461,-1.74738879429785,0.00686716643709844,9.65824971169209,1.55505922646365,479.226885651706,486.104319659395,2022-07-28T23:43:44Z,#VALUE!,#VALUE!
2022-07-28T23:44:11Z,NA,NA,471.41,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,36,keep,532.03,0.222740884188786,-0.00331641449072371,14,446.696397058824,927.600428002461,-1.74738879429785,0.00686716643709844,9.65824971169209,1.55505922646365,480.244955187545,487.659378885858,2022-07-28T23:43:44Z,#VALUE!,#VALUE!
